,Innings Player,Innings Runs Scored,type_x,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Date,Country_x,50's,100's,Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate,Result,Margin,type_y,Match,Home/Away,Match Month,Match Year,Match Period,Matches,Country_y
68184,SE Marsh,131,odi,131,182,1.0,0.0,123,11,3,106.5,1,v India,Adelaide,15-01-2019,Australia,0.0,1.0,100-149,,,,,,,,,,,Lost,6 wickets,odi,Australia v India,Home,Jan,2019,Jan-19,1,Australia
68185,SE Marsh,131,odi,131,182,1.0,0.0,123,11,3,106.5,1,v India,Adelaide,15-01-2019,Australia,0.0,1.0,100-149,,,,,,,,,,,Won,6 wickets,odi,Australia v India,Away,Jan,2019,Jan-19,1,India
68186,GJ Maxwell,48,odi,48,55,1.0,0.0,37,5,1,129.72,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Lost,6 wickets,odi,Australia v India,Home,Jan,2019,Jan-19,1,Australia
68187,GJ Maxwell,48,odi,48,55,1.0,0.0,37,5,1,129.72,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Won,6 wickets,odi,Australia v India,Away,Jan,2019,Jan-19,1,India
68188,MP Stoinis,29,odi,29,40,1.0,0.0,36,3,0,80.55,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Lost,6 wickets,odi,Australia v India,Home,Jan,2019,Jan-19,1,Australia
68189,MP Stoinis,29,odi,29,40,1.0,0.0,36,3,0,80.55,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Won,6 wickets,odi,Australia v India,Away,Jan,2019,Jan-19,1,India
68190,UT Khawaja,21,odi,21,40,1.0,0.0,23,3,0,91.3,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Lost,6 wickets,odi,Australia v India,Home,Jan,2019,Jan-19,1,Australia
68191,UT Khawaja,21,odi,21,40,1.0,0.0,23,3,0,91.3,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Won,6 wickets,odi,Australia v India,Away,Jan,2019,Jan-19,1,India
68192,PSP Handscomb,20,odi,20,36,1.0,0.0,22,2,0,90.9,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Lost,6 wickets,odi,Australia v India,Home,Jan,2019,Jan-19,1,Australia
68193,PSP Handscomb,20,odi,20,36,1.0,0.0,22,2,0,90.9,1,v India,Adelaide,15-01-2019,Australia,0.0,0.0,0-49,,,,,,,,,,,Won,6 wickets,odi,Australia v India,Away,Jan,2019,Jan-19,1,India
