,Innings Player,Innings Runs Scored Num,type_x,Innings Batted Flag,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Date,Country_x,Innings Overs Bowled,Innings Bowled Flag,Innings Runs Conceded,Innings Wickets Taken,Innings Economy Rate,Result,Margin,Match,Home/Away,Match Month,Match Year,Match Period
12329,EJG Morgan,102,odi,1.0,125.92,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12331,JJ Roy,82,odi,1.0,112.32,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12333,MM Ali,55,odi,1.0,127.9,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12335,JE Root,54,odi,1.0,98.18,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12337,LE Plunkett,26,odi,1.0,152.94,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12339,AD Hales,14,odi,1.0,116.66,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12341,JC Buttler,10,odi,1.0,111.11,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12343,DJ Willey,5,odi,1.0,125,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12345,CR Woakes,5,odi,1.0,125,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12347,BA Stokes,1,odi,1.0,33.33,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12349,JT Ball,-,odi,0.0,-,2,v India,Cuttack,19-01-2017,England,,,,,,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12395,R Ashwin,,odi,,,2,v England,Cuttack,19-01-2017,India,10,1.0,65,3,6.5,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12397,JJ Bumrah,,odi,,,2,v England,Cuttack,19-01-2017,India,9,1.0,81,2,9,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12399,RA Jadeja,,odi,,,2,v England,Cuttack,19-01-2017,India,10,1.0,45,1,4.5,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12401,B Kumar,,odi,,,2,v England,Cuttack,19-01-2017,India,10,1.0,63,1,6.3,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12403,KM Jadhav,,odi,,,2,v England,Cuttack,19-01-2017,India,5,1.0,45,0,9,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12405,HH Pandya,,odi,,,2,v England,Cuttack,19-01-2017,India,6,1.0,60,0,10,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12407,MS Dhoni,,odi,,,2,v England,Cuttack,19-01-2017,India,DNB,0.0,-,-,-,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12409,Yuvraj Singh,,odi,,,2,v England,Cuttack,19-01-2017,India,DNB,0.0,-,-,-,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12411,S Dhawan,,odi,,,2,v England,Cuttack,19-01-2017,India,DNB,0.0,-,-,-,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12413,V Kohli,,odi,,,2,v England,Cuttack,19-01-2017,India,DNB,0.0,-,-,-,Won,15 runs,India v England,Home,Jan,2017,Jan-17
12415,KL Rahul,,odi,,,2,v England,Cuttack,19-01-2017,India,DNB,0.0,-,-,-,Won,15 runs,India v England,Home,Jan,2017,Jan-17
