Innings Player,Country,Innings Runs Scored Num,Innings Wickets Taken,100's
SR Tendulkar,India,34357.0,201.0,100.0
RT Ponting,Australia,27368.0,8.0,70.0
V Kohli,India,21036.0,8.0,69.0
KC Sangakkara,Sri Lanka,27757.0,0.0,63.0
JH Kallis,South Africa,25422.0,572.0,62.0
HM Amla,South Africa,18553.0,0.0,55.0
DPMD Jayawardene,Sri Lanka,25688.0,14.0,53.0
BC Lara,West Indies,22260.0,4.0,53.0
R Dravid,India,24064.0,5.0,48.0
AB de Villiers,South Africa,19864.0,9.0,47.0
CH Gayle,West Indies,19266.0,257.0,42.0
ST Jayasuriya,Sri Lanka,20966.0,437.0,42.0
Younis Khan,Pakistan,17790.0,15.0,41.0
S Chanderpaul,West Indies,20988.0,23.0,41.0
ML Hayden,Australia,15064.0,0.0,40.0
TM Dilshan,Sri Lanka,17671.0,154.0,39.0
DA Warner,Australia,13479.0,4.0,39.0
Mohammad Yousuf,Pakistan,17134.0,1.0,39.0
LRPL Taylor,New Zealand,16941.0,2.0,38.0
SC Ganguly,India,18433.0,132.0,38.0
AN Cook,England,15737.0,1.0,38.0
ME Waugh,Australia,16529.0,144.0,38.0
V Sehwag,India,16892.0,134.0,38.0
RG Sharma,India,13252.0,11.0,37.0
GC Smith,South Africa,17224.0,26.0,37.0
MJ Clarke,Australia,17112.0,94.0,36.0
HH Gibbs,South Africa,14661.0,0.0,35.0
SR Waugh,Australia,18496.0,287.0,35.0
Inzamam-ul-Haq,Pakistan,20541.0,3.0,35.0
IVA Richards,West Indies,15261.0,150.0,35.0
SM Gavaskar,India,13214.0,2.0,35.0
DL Haynes,West Indies,16135.0,1.0,35.0
SPD Smith,Australia,11360.0,62.0,34.0
G Kirsten,South Africa,14087.0,2.0,34.0
KS Williamson,New Zealand,13800.0,72.0,33.0
AC Gilchrist,Australia,15437.0,0.0,33.0
KP Pietersen,England,13779.0,18.0,32.0
JE Root,England,13792.0,51.0,32.0
Saeed Anwar,Pakistan,12876.0,6.0,31.0
PA de Silva,Sri Lanka,15645.0,135.0,31.0
Javed Miandad,Pakistan,16213.0,24.0,31.0
CG Greenidge,West Indies,12692.0,1.0,30.0
AR Border,Australia,17698.0,112.0,30.0
DG Bradman,Australia,6996.0,2.0,29.0
M Azharuddin,India,15593.0,12.0,29.0
GA Gooch,England,13190.0,59.0,28.0
MS Atapattu,Sri Lanka,14036.0,1.0,27.0
AJ Strauss,England,11315.0,0.0,27.0
GS Chappell,Australia,9441.0,119.0,27.0
NJ Astle,New Zealand,11866.0,154.0,27.0
IR Bell,England,13331.0,7.0,26.0
GS Sobers,West Indies,8032.0,236.0,26.0
ME Trescothick,England,10326.0,5.0,26.0
DC Boon,Australia,13386.0,0.0,26.0
DI Gower,England,11401.0,1.0,25.0
S Dhawan,India,9287.0,0.0,24.0
VVS Laxman,India,11119.0,2.0,23.0
JL Langer,Australia,7856.0,0.0,23.0
G Boycott,England,9196.0,12.0,23.0
MC Cowdrey,England,7625.0,0.0,22.0
F du Plessis,South Africa,10558.0,2.0,22.0
Ijaz Ahmed,Pakistan,9879.0,7.0,22.0
WR Hammond,England,7249.0,83.0,22.0
MEK Hussey,Australia,12398.0,9.0,22.0
RN Harvey,Australia,6149.0,3.0,21.0
MD Crowe,New Zealand,10148.0,43.0,21.0
MJ Guptill,New Zealand,11571.0,12.0,21.0
Tamim Iqbal,Bangladesh,12775.0,0.0,21.0
RB Richardson,West Indies,12197.0,1.0,21.0
Mohammad Hafeez,Pakistan,12174.0,246.0,21.0
CH Lloyd,West Indies,9492.0,18.0,20.0
